seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender
1426,1581,Closed,764,7/30/2011 16:47,34,7/30/2011 16:59,52,B00151,Casual,,,
1427,1582,Closed,1207,7/30/2011 16:45,11,7/30/2011 17:05,46,B00138,Casual,,,
1428,1583,Closed,817,7/30/2011 16:46,34,7/30/2011 17:00,52,B00471,Casual,,,
1429,1584,Closed,679,7/30/2011 16:47,10,7/30/2011 16:59,36,B00158,Casual,,,
1430,1585,Closed,720,7/30/2011 16:47,10,7/30/2011 16:59,36,B00063,Casual,,,
1431,1586,Closed,723,7/30/2011 16:47,34,7/30/2011 17:00,52,B00566,Casual,,,
1432,1587,Closed,8062,7/30/2011 16:51,9,7/30/2011 19:05,9,B00279,Casual,,,
1433,1588,Closed,1066,7/30/2011 16:52,20,7/30/2011 17:09,25,B00469,Casual,,,
1434,1589,Closed,1022,7/30/2011 16:53,36,7/30/2011 17:10,49,B00474,Casual,,,
1435,1591,Closed,541,7/30/2011 16:53,20,7/30/2011 17:02,35,B00424,Registered,'02148,1978,1
1436,1592,Closed,11262,7/30/2011 16:54,46,7/30/2011 20:02,46,B00026,Casual,,,
1437,1593,Closed,959,7/30/2011 16:54,36,7/30/2011 17:10,49,B00115,Casual,,,
1438,1594,Closed,914,7/30/2011 16:54,36,7/30/2011 17:10,49,B00411,Casual,,,
1439,1595,Closed,9724,7/30/2011 16:56,31,7/30/2011 19:38,42,B00556,Casual,,,
1440,1596,Closed,930,7/30/2011 17:00,8,7/30/2011 17:16,9,B00464,Casual,,,
1441,1597,Closed,1277,7/30/2011 16:57,20,7/30/2011 17:19,36,B00419,Casual,,,
1442,1598,Closed,15477,7/30/2011 16:58,48,7/30/2011 21:16,48,B00113,Casual,,,
1443,1599,Closed,939,7/30/2011 17:00,8,7/30/2011 17:16,9,B00056,Casual,,,
1444,1600,Closed,15415,7/30/2011 16:59,48,7/30/2011 21:16,48,B00276,Casual,,,
1445,1601,Closed,5987,7/30/2011 17:01,22,7/30/2011 18:41,16,B00076,Casual,,,
1446,1602,Closed,5993,7/30/2011 17:02,22,7/30/2011 18:41,16,B00096,Casual,,,
1447,1603,Closed,1393,7/30/2011 17:00,13,7/30/2011 17:23,24,B00377,Registered,'02110,1988,2
1448,1604,Closed,421,7/30/2011 17:01,21,7/30/2011 17:08,45,B00059,Registered,'02215,1977,1
1449,1605,Closed,6720,7/30/2011 17:03,22,7/30/2011 18:55,49,B00350,Casual,,,
1450,1606,Closed,1299,7/30/2011 17:02,42,7/30/2011 17:24,10,B00042,Casual,,,
1451,1607,Closed,1403,7/30/2011 17:05,24,7/30/2011 17:28,42,B00478,Casual,,,
1452,1608,Closed,1836,7/30/2011 17:07,38,7/30/2011 17:38,49,B00358,Casual,,,
1453,1609,Closed,1411,7/30/2011 17:05,24,7/30/2011 17:28,42,B00417,Casual,,,
1454,1610,Closed,506,7/30/2011 17:06,36,7/30/2011 17:14,42,B00348,Casual,,,
1455,1611,Closed,1847,7/30/2011 17:07,38,7/30/2011 17:38,49,B00124,Casual,,,
1456,1612,Closed,522,7/30/2011 17:06,36,7/30/2011 17:15,42,B00158,Casual,,,
1457,1613,Closed,508,7/30/2011 17:06,36,7/30/2011 17:15,42,B00318,Casual,,,
1458,1614,Closed,1277,7/30/2011 17:09,20,7/30/2011 17:30,25,B00391,Casual,,,
1459,1615,Closed,1023,7/30/2011 17:13,20,7/30/2011 17:30,25,B00028,Casual,,,
1460,1616,Closed,1672,7/30/2011 17:09,42,7/30/2011 17:37,20,B00536,Casual,,,
1461,1617,Closed,2609,7/30/2011 17:13,46,7/30/2011 17:56,46,B00138,Casual,,,
1462,1618,Closed,2681,7/30/2011 17:11,46,7/30/2011 17:56,46,B00485,Casual,,,
1463,1620,Closed,494,7/30/2011 17:13,20,7/30/2011 17:21,22,B00395,Registered,'02128,1981,2
